id,pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
398p,Patricia Holden,4/1/10,7/31/11,18986,US Geological Survey,Federal agencies,G10PX01310,Microbial Communities in Malibu Lagoon,Malibu CA is a southern California coastal community whose domestic wastewater is managed through on-site treatment. The US Geological Survey (USGS) Research contracted with the Holden Lab at University of California Santa Barbara (UCSB) to perform microbial community analysis of water samples in the Fall of 2009 for a prior study of the Malibu Lagoon. Because microbial communities may be altered by the introduction of effluent or wastewater (i.e. via direct inoculation of waste-associated microbes or via introduction of nutrients or other chemicals that could exert selective pressures on indigenous populations) and because microbial communities can be interrogated using culture-independent methods yielding dense datasets (amenable to powerful statistical analysis by multivariate methods) assaying microbial community composition from water samples at suspected impacted positive control and negative control sites can comparatively reveal the degree of impact. The objective of this project was to analyze microbial communities that exist in water samples collected by the USGS at Malibu Lagoon in the spring of 2010. The microbial community analysis data were provided to the USGS for their statistical analysis and for comparison to other datasets they generated. The community analysis approach used here was Terminal Restriction Fragment Length Polymorphism (TRFLP) analysis; additionally one other DNA-based source tracking method (qPCR of a human-specific Bacteriodales gene) and qPCR of Enterococcus sp. were applied to extracted DNA to aid in assessing fecal contamination of the water samples. The research is now published in the Annals of Environmental Science (Izbicki et al. 2012 V6 pp. 35-86).,2010,2011
399p,Naomi Tague,5/15/10,6/30/14,298683,US Geological Survey,Federal agencies,G10AC00309,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,"Climate warming is affecting Western mountain ecosystems, directly through changes in water dynamics and indirectly through altered disturbance regimes. The Western Mountain Initiative (WMI; http://www.cfr.washington.edu/research.fme/wmi) team explores the effects of climate change on ecological disturbance, responses of forest vegetation, mountain hydrology, and the coupled hydro-ecological responses that determine vulnerability of Western mountain ecosystems to change. Extensive data sets, empirical studies, surveys, and monitoring programs are linked via models to hindcast and forecast the effects of changing climate on forest dynamics, distribution, and productivity; fire occurrence and insect outbreaks; recovery of vegetation after disturbance; hydrologic changes and glacier dynamics; and the consequences of an altered water cycle for terrestrial and aquatic ecosystems and chemistry. We will address the extent to which climate drivers are mediated by regional- or watershed-scale controls on ecosystem processes, thus quantifying vulnerability to climate change in mountain ecosystems. Region-specific results and emergent West-wide patterns will be shared with resource managers through workshops and a comprehensive web-based toolkit on climate-change science and adaptation management. WMI seeks to understand climate-ecosystem interactions, forecast ecological change, and provide adaptation information for managers. We build on the foundation of our ongoing research program, which includes hundreds of publications, long-term datasets, and a mature network of collaborators. WMI addresses Ecosystem and Climate Change goals of the USGS Global Change Science Strategy, and Goals 4 and 5 of the U.S. Climate Change Science Program Strategic Plan. Both the National Park Service and US Forest Service are developing science-based management approaches for adapting to climate change, and WMI will collaborate directly with both agencies to ensure scientific consistency in the implementation of adaptation strategies. In the preceding phase of WMI research, we used RHESSys to model ecosystem processes and hydrology in five forested montane watersheds representing diverse conditions across the western U.S. (sites in MT, CO, NM, CA, WA) (Christensen et al. 2008). In addition, ongoing RHESSys applications as part of other projects include a range of watersheds throughout the West (Tague et al. 2008; Tague et al. in review). Analysis at the scale of these sites (<800 km2) is critical given 218 that management of resources takes place at small watershed scales where process-based interactions are determined by gradients in snow, temperature, and radiation; spatial distribution of moisture; vegetation structure and pattern; and disturbances (fire, insects, mass movements). This abundant RHESSys model output is ready to be carried to the next level of interpretation. Tague role in the WMI project will be to continue the refinement and application of RHESSys, as a coupled eco-hydrologic model for use in hypothesis generation and scenario development.",2010,2014
400p,John Cottle,2/28/12,7/31/14,67095,US Geological Survey,Federal agencies,G12AP20049,Evaluating Mechanisms for Rare Earth Phosphate Mineralization in the Proterozoic Pinto Gneiss Music Valley Eastern Mojave California,Music Valley lies immediately to the north and east of Joshua Tree National Park in the Mojave desert of eastern California. The study area lies within the Valley Mountain and Hexie Mountains 15’ quadrangles mapped at 1:62500 scale by Dibblee (2008). The Twentynine Palms Mountain and Fried Liver Wash 7.5’ quadrangles provide 1:24000 topographic base for more detailed mapping and targeted sample collection. Field work will involve sample collection of at least 50 bulk rock and 20 alluvial samples from the several previously mapped deposits including the U- Thor Uranus 2-6 Baby Blue and Hansen and other deposits delineated by Evans (1964). GPS location field relations and photographs to indicate the precise location and context of the samples will also be collected. In addition this study will employ a multi-faceted petrologic geochemical and geochronologic approach to determine the mechanism of rare earth phosphate mineralization. The proposed tools for this research include U-Th-Pb geochronology in-situ Sm/Nd isotope geochemistry trace element analysis and chemical mapping of xenotime and monazite grains. Sampling strategy: 50 bulk rock samples: host gneisses as well as leucosomes inside and outside of the Th-anomaly and at several of the deposits identified by Evans (1964) will be collected for further analysis during year 1 of the project. In addition 20 alluvial samples will be collected in order to make a reconnaissance assessment over a wider to assess the likely spatial extent of the deposit. Analysis will begin with detailed petrographic thin section analysis of bulk rock samples. From this it will be determined which samples contain sufficient REE-phosphates for further study (we anticipate making detailed analyses of a subset of the most appropriate 25- 30 samples over the two year period). Chemical Petrography: To characterize zoning patterns in xenotime and monazite chemical mapping by two electron microbeam instruments will be carried out. Preliminary mapping of monazite and xenotime inclusions will be done on a FEI Quanta scanning electron microscope (SEM) equipped with a back-scattered electon detector (BSE). This will allow for the rapid location and identification of monazite and xenotime grains as well as an initial view to the internal zoning patterns. Following this initial screening x-ray maps of individual grains will be produced using a Cameca-SX100 electron probe micro analyzer (EPMA) equipped with five spectrometers to measure Y Th U La Pb and Nd zoning patterns. Distinguishing between zones of different chemical composition will be crucial for in-situ laser ablation. We expect the majority of chemical petrography to be complete by the end of year one.,2012,2014
401p,John Cottle,2/28/12,7/31/14,67095,US Geological Survey,Federal agencies,G12AP20049,Evaluating Mechanisms for Rare Earth Phosphate Mineralization in the Proterozoic Pinto Gneiss Music Valley Eastern Mojave California,Music Valley lies immediately to the north and east of Joshua Tree National Park in the Mojave desert of eastern California. The study area lies within the Valley Mountain and Hexie Mountains 15 quadrangles mapped at 1:62500 scale by Dibblee (2008). The Twentynine Palms Mountain and Fried Liver Wash 7.5 quadrangles provide 1:24000 topographic base for more detailed mapping and targeted sample collection. Field work will involve sample collection of at least 50 bulk rock and 20 alluvial samples from the several previously mapped deposits including the U-Thor Uranus 2-6 Baby Blue and Hansen and other deposits delineated by Evans (1964). GPS location field relations and photographs to indicate the precise location and context of the samples will also be collected. In addition this study will employ a multi-faceted petrologic geochemical and geochronologic approach to determine the mechanism of rare earth phosphate mineralization. The proposed tools for this research include U-Th-Pb geochronology in-situ Sm/Nd isotope geochemistry trace element analysis and chemical mapping of xenotime and monazite grains. Sampling strategy: 50 bulk rock samples: host gneisses as well as leucosomes inside and outside of the Th-anomaly and at several of the deposits identified by Evans (1964) will be collected for further analysis during year 1 of the project. In addition 20 alluvial samples will be collected in order to make a reconnaissance assessment over a wider to assess the likely spatial extent of the deposit. Analysis will begin with detailed petrographic thin section analysis of bulk rock samples. From this it will be determined which samples contain sufficient REE-phosphates for further study (we anticipate making detailed analyses of a subset of the most appropriate 25- 30 samples over the two year period). Chemical Petrography: To characterize zoning patterns in xenotime and monazite chemical mapping by two electron microbeam instruments will be carried out. Preliminary mapping of monazite and xenotime inclusions will be done on a FEI Quanta scanning electron microscope (SEM) equipped with a back-scattered electon detector (BSE). This will allow for the rapid location and identification of monazite and xenotime grains as well as an initial view to the internal zoning patterns. Following this initial screening x-ray maps of individual grains will be produced using a Cameca-SX100 electron probe micro analyzer (EPMA) equipped with five spectrometers to measure Y Th U La Pb and Nd zoning patterns. Distinguishing between zones of different chemical composition will be crucial for in-situ laser ablation. We expect the majority of chemical petrography to be complete by the end of year one. ,2012,2014
402p,Phil Gans,4/1/14,3/31/15,25677,US Geological Survey,Federal agencies,G14AC00080,Geological Mapping of the Southwestern Whipple Mountains and Eastern Mopah Range Southeastern California: Unraveling the Eruptive and Structural History of a Synextensional Miocene Volcanic Center,The lower Colorado River Extensional Corridor (CREC) is a premier natural laboratory for investigating large-magnitude continental extension. This proposal requests funds to facilitate two graduate student geologic mapping projects within the breakaway region of the CREC in southeastern California. The primary goals of this project are to: a) produce publishable digital geologic maps – a context map at 1:24000-scale and two inset maps at 1:10000 - with cross- sections and supporting data allowing us to answer important scientific questions in the process and b) to train two graduate students in the making of high-quality geologic maps and conducting field-based geological research. The students will map two independent but complementary areas: Mary Kate Fidler (Ph.D.) will map a 80 km2 area of faulted and tilted volcanic successions in the SW Whipple Mountains and eastern Mopah Range with the goal of understanding the detailed eruptive and faulting history of the shallow levels of the core complex. Beau Gentry (MS) will map a 50 km2 area in the Whipple Mountains that includes an extensive Miocene dike swarm in the footwall of the core complex with the goal of assessing the amount of tilting and intrusive dilation. In addition both students and PI will map the enveloping 200 km2 area at 1:24000 to provide geologic context. Our proposed study area is being actively explored for detachment- hosted gold and rare earth element mineral deposits and this new data will be invaluable to these efforts. The PI will train and mentor the two graduate students during all phases of the project which will primarily involve detailed mapping and field based structural and stratigraphic analysis. The mapping will form the basis for two graduate theses that will also include extensive petrologic 40Ar/39Ar and U-Pb geochronologic studies funded by other sources.,2014,2015
403p,Phil Gans,4/1/14,5/31/15,25677,US Geological Survey,Federal agencies,G14AC00080,Geological Mapping of the Southwestern Whipple Mountains and Eastern Mopah Range Southeastern California: Unraveling the Eruptive and Structural History of a Synextensional Miocene Volcanic Center,The lower Colorado River Extensional Corridor (CREC) is a premier natural laboratory for investigating large-magnitude continental extension. This proposal requests funds to facilitate two graduate student geologic mapping projects within the breakaway region of the CREC in southeastern California. The primary goals of this project are to: a) produce publishable digital geologic maps  a context map at 1:24000-scale and two inset maps at 1:10000 - with cross-sections and supporting data allowing us to answer important scientific questions in the process and b) to train two graduate students in the making of high-quality geologic maps and conducting field-based geological research. The students will map two independent but complementary areas: Mary Kate Fidler (Ph.D.) will map a 80 km2 area of faulted and tilted volcanic successions in the SW Whipple Mountains and eastern Mopah Range with the goal of understanding the detailed eruptive and faulting history of the shallow levels of the core complex. Beau Gentry (MS) will map a 50 km2 area in the Whipple Mountains that includes an extensive Miocene dike swarm in the footwall of the core complex with the goal of assessing the amount of tilting and intrusive dilation. In addition both students and PI will map the enveloping 200 km2 area at 1:24000 to provide geologic context. Our proposed study area is being actively explored for detachment-hosted gold and rare earth element mineral deposits and this new data will be invaluable to these efforts. The PI will train and mentor the two graduate students during all phases of the project which will primarily involve detailed mapping and field based structural and stratigraphic analysis. The mapping will form the basis for two graduate theses that will also include extensive petrologic 40Ar/39Ar and U-Pb geochronologic studies funded by other sources. ,2014,2015
404p,Dylan Rood,6/1/14,5/31/15,27406,US Geological Survey,Federal agencies,G14AP00055TDD,Differential Uplift and Incision of the Yakima River Terraces: Collaborative Research with WWU UVM & State Agricultural College and UCSB,"This collaborative effort will define and relate rates of fluvial incision along the Yakima River to surface deformation and earthquake activity along reverse faults and folds in the Columbia Basin of Washington State. This project combines lidar and field-based investigation of fluvial terraces along the Yakima River with cosmogenic radionuclide geochronology of terrace cover deposits to define spatial and temporal patterns of river downcutting over potentially active structures in the Yakima Fold and Thrust belt (YFTB). The primary question we seek to address is whether incision of the Yakima River reflects differential uplift in response to late-Quaternary growth and development of the Yakima folds. Increasing recognition that reverse faults and folds of the YFTB represent potential earthquake sources underscores the need to resolve the contribution of geologically young deformation to the topographic development of these structures. The Yakima River terraces between Kittitas Valley and Roza Gap represent ideal landforms for reconstructing this history. Intact surfaces and exposed gravel cover deposits suggest a rich archive of sustained fluvial downcutting over three fault-cored anticlinal ridges, Manastash Ridge, Umtanum Ridge, and Selah Butte, from north to south. Preliminary mapping, field reconnaissance, and downstream correlation of terrace remnants reveals multiple generations of surfaces spanning these structures, as well as sufficiently thick cover deposits for 10Be/26Al burial dating of capping gravels based on the isochron method. Specific questions that data collected by this project can address include: 1) whether downcutting of the Yakima River reflects late-Quaternary growth of YTFB anticlines (as expressed by uplifted terraces) occurred in response to recent slip and related uplift on the underlying reverse faults, 2) how spatial and temporal patterns of fluvial incision reveal the locus of surface deformation along the Yakima River, and 3) the relationship among incision and folding of the Yakima River terraces to slip on the underlying reverse faults. Investigation of these topics will shed light on the 161 rate, timing, and magnitude of surface deformation along the Yakima River canyon, and improve our understanding of how contemporary shortening is partitioned among individual structures within the YFTB. Reducing losses from earthquakes. This project will contribute to reducing losses from earthquakes in the Pacific Northwest by characterizing surface deformation and fault activity for structures with an unknown late-Quaternary history of deformation. The YFTB represents a priority target area for understanding earthquake hazards in Washington State due to proximity to critical facilities at the nearby Hanford Nuclear site.",2014,2015
405p,Dylan Rood,6/1/14,5/31/15,27406,US Geological Survey,Federal agencies,G14AP00055TDD,Differential Uplift and Incision of the Yakima River Terraces: Collaborative Research with WWU UVM & State Agricultural College and UCSB,We request funding for a collaborative effort to define and relate rates of fluvial incision along the Yakima River to surface deformation and earthquake activity along reverse faults and folds in the Columbia Basin of Washington State. This project combines lidar and field-based investigation of fluvial terraces along the Yakima River with cosmogenic radionuclide geochronology of terrace cover deposits to define spatial and temporal patterns of river downcutting over potentially active structures in the Yakima Fold and Thrust belt (YFTB). The primary question we seek to address is whether incision of the Yakima River reflects differential uplift in response to late-Quaternary growth and development of the Yakima folds. Increasing recognition that reverse faults and folds of the YFTB represent potential earthquake sources underscores the need to resolve the contribution of geologically young deformation to the topographic development of these structures. The Yakima River terraces between Kittitas Valley and Roza Gap represent ideal landforms for reconstructing this history. Intact surfaces and exposed gravel cover deposits suggest a rich archive of sustained fluvial downcutting over three fault-cored anticlinal ridges Manastash Ridge Umtanum Ridge and Selah Butte from north to south. Preliminary mapping field reconnaissance and downstream correlation of terrace remnants reveals multiple generations of surfaces spanning these structures as well as sufficiently thick cover deposits for 10Be/26Al burial dating of capping gravels based on the isochron method. Specific questions that data collected by this project can address include: 1) whether downcutting of the Yakima River reflects late-Quaternary growth of YTFB anticlines (as expressed by uplifted terraces) occurred in response to recent slip and related uplift on the underlying reverse faults 2) how spatial and temporal patterns of fluvial incision reveal the locus of surface deformation along the Yakima River and 3) the relationship among incision and folding of the Yakima River terraces to slip on the underlying reverse faults. Investigation of these topics will shed light on the rate timing and magnitude of surface deformation along the Yakima River canyon and improve our understanding of how contemporary shortening is partitioned among individual structures within the YFTB. Reducing losses from earthquakes. This project will contribute to reducing losses from earthquakes in the Pacific Northwest by characterizing surface deformation and fault activity for structures with an unknown late-Quaternary history of deformation. The YFTB represents a priority target area for understanding earthquake hazards in Washington State due to proximity to critical facilities at the nearby Hanford Nuclear site. ,2014,2015
406p,Christina Tague,5/15/10,6/30/15,365554,US Geological Survey,Federal agencies,G10AC00309,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,Climate warming is affecting Western mountain ecosystems directly through changes in water dynamics and indirectly through altered disturbance regimes. The Western Mountain Initiative (WMI; http://www.cfr.washington.edu/research.fme/wmi) team explores the effects of climate change on ecological disturbance responses of forest vegetation mountain hydrology and the coupled hydro-ecological responses that determine vulnerability of Western mountain ecosystems to change. Extensive data sets empirical studies surveys and monitoring programs are linked via models to hindcast and forecast the effects of changing climate on forest dynamics distribution and productivity; fire occurrence and insect outbreaks; recovery of vegetation after disturbance; hydrologic changes and glacier dynamics; and the consequences of an altered water cycle for terrestrial and aquatic ecosystems and chemistry. We will address the extent to which climate drivers are mediated by regional- or watershed-scale controls on ecosystem processes thus quantifying vulnerability to climate change in mountain ecosystems. Region-specific results and emergent West-wide patterns will be shared with resource managers through workshops and a comprehensive web-based toolkit on climate-change science and adaptation management. WMI seeks to understand climate-ecosystem interactions forecast ecological change and provide adaptation information for managers. We build on the foundation of our ongoing research program which includes hundreds of publications long-term datasets and a mature network of collaborators. WMI addresses Ecosystem and Climate Change goals of the USGS Global Change Science Strategy and Goals 4 and 5 of the U.S. Climate Change Science Program Strategic Plan. Both the National Park Service and US Forest Service are developing science-based management approaches for adapting to climate change and WMI will collaborate directly with both agencies to ensure scientific consistency in the implementation of adaptation strategies. In the preceding phase of WMI research we used RHESSys to model ecosystem processes and hydrology in five forested montane watersheds representing diverse conditions across the western U.S. (sites in MT CO NM CA WA) (Christensen et al. 2008). In addition ongoing RHESSys applications as part of other projects include a range of watersheds throughout the West (Tague et al. 2008; Tague et al. in review). Analysis at the scale of these sites (<800 km2) is critical given that management of resources takes place at small watershed scales where process-based interactions are determined by gradients in snow temperature and radiation; spatial distribution of moisture; vegetation structure and pattern; and disturbances (fire insects mass movements). This abundant RHESSys model output is ready to be carried to the next level of interpretation. Tague role in the WMI project will be to continue the refinement and application of RHESSys as a coupled eco-hydrologic model for use in hypothesis generation and scenario development. ,2010,2015
407p,Christopher Sorlien,1/1/14,6/30/15,55713,US Geological Survey,Federal agencies,G14AP00012,Post-1 Ma Deformation History of the Pitas Point-North Channel-Red Mountain Fault System and Associated Folds in Santa Barbara Channel California,"Evidence for 6 to 8 meter uplift events west of Ventura have been linked to proposed paleo- quakes approaching Magnitude 8.0. The north margin of rapidly-shortening, rapidly-subsiding offshore and onshore Ventura Basin is comprised of major N-dipping faults. These faults extend 200 km between Pt. Conception and the east end of the Santa Susana fault. Vertical motion is partly across a narrow fold scarp in Ventura and the near offshore. This local fold dies out farther offshore and is replaced by broad forelimb tilting. Such tilting implies a continuously variable, but predictable, pattern of subsistence and uplift. Fault representations in the SCEC Community Fault Model (CFM) indicate discontinuities in the shallow faulting that may limit the M<=6.7 for 20th century quakes on this system. M6 1/2 quakes can be disastrous enough, and because they are much more frequent for the same shortening than major quakes, their hazard is high. However, tsunami hazard is much less for a M6.5 than a M7.5 thrust quake, and whether a particular building, bridge, or mountainside will collapse is also affected by the duration of strong ground motion. Does the development of, and shortening across the regional fault system over the last 1 My suggest multiple segment ruptures and major quakes? Multiple grids of 2D industry, USGS, and academic seismic reflection data and eight 3D surveys have recently become publicly available. Nine horizons, precisely dated between 975 ka and 120 ka, have only been integrated with all these data across the central 40 kn of the offshore part of the fault system. A series of published well cross sections will also be incorporated. The existing 3D velocity model from sonic logs and checkshot surveys will be extended to the east and west and to greater depth. Data integration will be accomplished using an industry seismic and well interpretation software. Three dimensional kinematic modeling will include unfolding stratigraphic horizons and reassembling them across faults, and/or trigonometric modeling of tilt and imaged fault 3D attitude vs. slip direction and magnitude, and/or use of volumes in hanging- wall anticlines above footwall basin references. Products from this study will include revised and new 3D representations of fault surfaces and stratigraphic horizons, and new estimates of fault slip rates and slip directions. The digital fault representations will be provided to the SCEC Community Fault Model and to U.S.G.S. researchers, and the digital stratigraphic grids in time and depth will be supplemental data to a publication. Implications include strong ground motion duration and tsunami hazard between 196 Oxnard-Ventura and Santa Barbara-Goleta. Work will also include part of the Pitas Point-North Channel fault system west of Pt. Conception, where it interacts with NNW-striking faults including the southernmost Hosgri fault.",2014,2015
408p,Christopher Sorlien,1/1/14,6/30/15,55713,US Geological Survey,Federal agencies,G14AP00012,Post-1 Ma Deformation History of the Pitas Point-North Channel-Red Mountain Fault System and Associated Folds in Santa Barbara Channel California,Evidence for 6 to 8 meter uplift events west of Ventura have been linked to proposed paleo-quakes approaching Magnitude 8.0. The north margin of rapidly-shortening rapidly-subsiding offshore and onshore Ventura Basin is comprised of major N-dipping faults. These faults extend 200 km between Pt. Conception and the east end of the Santa Susana fault. Vertical motion is partly across a narrow fold scarp in Ventura and the near offshore. This local fold dies out farther offshore and is replaced by broad forelimb tilting. Such tilting implies a continuously variable but predictable pattern of subsistence and uplift. Fault representations in the SCEC Community Fault Model (CFM) indicate discontinuities in the shallow faulting that may limit the M<=6.7 for 20th century quakes on this system. M6 1/2 quakes can be disastrous enough and because they are much more frequent for the same shortening than major quakes their hazard is high. However tsunami hazard is much less for a M6.5 than a M7.5 thrust quake and whether a particular building bridge or mountainside will collapse is also affected by the duration of strong ground motion. Does the development of and shortening across the regional fault system over the last 1 My suggest multiple segment ruptures and major quakes? Multiple grids of 2D industry USGS and academic seismic reflection data and eight 3D surveys have recently become publicly available. Nine horizons precisely dated between 975 ka and 120 ka have only been integrated with all these data across the central 40 kn of the offshore part of the fault system. A series of published well cross sections will also be incorporated. The existing 3D velocity model from sonic logs and checkshot surveys will be extended to the east and west and to greater depth. Data integration will be accomplished using an industry seismic and well interpretation software. Three dimensional kinematic modeling will include unfolding stratigraphic horizons and reassembling them across faults and/or trigonometric modeling of tilt and imaged fault 3D attitude vs. slip direction and magnitude and/or use of volumes in hanging-wall anticlines above footwall basin references. Products from this study will include revised and new 3D representations of fault surfaces and stratigraphic horizons and new estimates of fault slip rates and slip directions. The digital fault representations will be provided to the SCEC Community Fault Model and to U.S.G.S. researchers and the digital stratigraphic grids in time and depth will be supplemental data to a publication. Implications include strong ground motion duration and tsunami hazard between Oxnard-Ventura and Santa Barbara-Goleta. Work will also include part of the Pitas Point-North Channel fault system west of Pt. Conception where it interacts with NNW-striking faults including the southernmost Hosgri fault. ,2014,2015
409p,Alexander Simms,8/1/14,7/31/15,19508,US Geological Survey,Federal agencies,G14AC00277,Geologic Controls on Karst in western Oklahoma,Western Oklahoma is host to over 1200 feet of interbedded shales sandstones and gypsums. The gypsums of western Oklahoma provide natural resources for local economic development but also pose a risk to transportation and other infrastructure. The area is prone to karst and similar to the neighboring Texas Panhandle the age and geologic controls on karst are still relatively poorly understood. During a mapping project of the Washita National Battlefield in western Oklahoma the PI and a former undergraduate student noted the development of inverted topography from karst. The purpose of this proposal is to expand the limited mapping (<35 km2) conducted as part of that project in order to better understand the distribution of karst landforms in the region and gain better insights into the timing and controls on karst formation in western Oklahoma. Our central hypothesis is that karst follows the major late Quaternary drainages of the region. If this is true it suggests a tie between river incision and karst in the region. However this leaves unresolved whether the karst controlled river development or river incision lead to karst formation. The relationship between karst and the other Cenozoic stratigraphic units (e.g. Neogene Ogallala Formation Quaternary Terraces) will allow for this differentiation. In order to test our central hypothesis we will map the surface geology of two quadrangles in western Oklahoma. We expect to find that the inverted topographic features within our study area created due to karst are only found along the major stream courses and the karst cross-cuts the Ogallala Formation but not the Quaternary terraces. If our hypothesis is correct that would suggest that karst in this region is no older than the stream courses. ,2014,2015
410p,Christina Tague,8/1/15,7/31/16,70000,US Geological Survey,Federal agencies,G15AC00359,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems,U.S. Geological Surveys (USGS) Fort Collins Science Center solicits research on Western Mountain Initiative - Central Rocky Mountains as part of the USGS integrated Western Mountain Initiative (WMI). The goal of this research is to increase process understanding explaining how hydrologic and ecosystem structure and function respond to climate variability and change and land use/land cover changes in mountain environments in the Western US. Results from this work are communicated through peer-review publications and through interactions with stakeholders - including land managers and the public. A key focus of this sub-proposal is the development of process-based spatial models as tools for both scenario generation and to integrate findings from field-based research by collaborators within the WMI initiative and elsewhere. Our ongoing model development with RHESSys (Regional Hydro-Ecological Simulation System) is made available to the larger science community through publically available code and regular training sessions. There is a long-standing collaborative partnership between USGS and University of California Santa Barbara researchers to explore the effects of climate change on water resources ecosystem structure and function and disturbance regimes. Results contribute to improving understanding of how Western U.S. landscapes will respond to climate variation and change and identifying key vulnerabilities and the consequences of land management options. For example we have used model-based scenarios to quantify the contributions of underlying watershed geologic characteristics to the sensitivity of forest water use and streamflow to drought (e.g Tague and Peng 2013). Our continued development of informatics tools provides improved techniques for assessing the impacts of thinning and fuel treatments on forest drought fire risk and water resources (eg. Tague et al. 2013). By providing a coupled eco-hydrologic perspective our model scenarios provide information about the interactions among climate forest management practices and water resources that are needed for effective climate change adaptation planning. The connection with the UCSB Bren School of Environmental Science and Managements professional Masters program also provides an opportunity to communicate research findings to young environmental leaders and professionals. The Bren program is specifically designed to train environmental professionals for careers in environmental problem solving in government industry and non-profits and has a very active outreach program to these societal groups. ,2015,2016
411p,Phil Gans,6/1/16,8/31/17,42715,US Geological Survey,Federal agencies,G16AC00157,Geologic Mapping of the Snake Range Metamorphic Core Complex Eastern Nevada: Unraveling the Creatceous-Paleocene History of Burial and Partial Exhumation of Footwall Rocks,The Snake Range in eastern Nevada is an exceptional natural laboratory to investigate the deep burial and partial exhumation that characterizes the early history of most Cordilleran metamorphic core complexes. This effort will facilitate two graduate and two undergraduate student geologic mapping projects in a portion of the footwall of the northern Snake Range Decollement (NSRD) where the Miocene extensional overprint is less pervasive and older structures and fabrics are well-preserved. The primary objectives of this project are: 1) Produce publishable digital geologic maps including two maps of key areas at 1:10000 and a compilation of new and existing mapping to complete Six Mile Canyon 7.5 Quadrangle at 1:24000 with accompanying cross-sections and technical reports and 2) Train two graduate and undergraduate students in the making of high-quality geologic maps and conducting field-based research. The four students will map independent but complementary areas: one will map an approximately 30 km2 area at 1:10000 of intensely-folded Cambrian to Ordovician marble and calc-schist that is cut by an Eocene (?) dike swarm in the northernmost part of the range. The goals are to document the fold geometry associated with Mesozoic shortening the geometry kinematics and timing of different tectonite fabrics and degree of footwall rotation. Another student (MS) will map a 35 km2 area at 1:10000 along the western flank of the range focusing on the geometry of a recently discovered east-directed thrust fault system. Two undergraduate students will be selected to join the EDMAP mapping effort for the last 4 weeks of summer to help complete the Six Mile Canyon 7.5 Quadrangle. Our study will shed new light on how older thickening and extensional(?) events influenced the Miocene detachment faulting history in this (and other) core complexes. ,2016,2017
412p,Leila Carvalho Charles Jones,4/15/10,3/31/12,50000,USAID,Federal agencies,SB100085,Statistical Physics Climatic Downscaling: Combining Wavelet Multifractal and Neural Network Approaches in a Unified Scaling Methodology,The specific research problem addressed by this study is the development of a downscaling model based on wavelet-multifractal and artificial neural network approaches to generate climate data at appropriate temporal (daily) and spatial (20 Km) scales using global circulation model outputs. Although computational performances have increased exponentially in the last few years there are still strong limitations in global climate modeling in simulating regional processes on short spatial and temporal time-scales. As of today most Global Climate Models (GCMs) have typical horizontal resolution of 150-300 km with 30-50 vertical layers. Much of the improved computational resources have been used to incorporate more sophisticated physical parameterizations interactive earth system components and ensemble simulations of extended lengths. To date major model biases remain in global climate simulations that limit their ability to provide climate information with sufficient reliability and spatial specificity for societal use. Perhaps the most persistent and pervasive biases are related to the representation of the hydrological cycle. Consequences of an inaccurate hydrological cycle in fully coupled GCM simulations of the climate system are far reaching since water integrates the physical biological and chemical components. Most climate change projections are currently based on models that simulate coupled atmospheric and oceanic processes on coarse resolutions. Among the most important impacts of regional-scale predictions of climate changes is on food production and security. Simulations on regional scales of precipitation and temperature are absolutely crucial to understand how global warming will affect fresh water storage and the ability to grow potato wheat corn and other staples. Dynamical regional model simulations using GCMs as boundary conditions have been largely applied but challenges in this area still abounds. In some cases improvements to GCMs are considered marginal given the necessary computational efforts. The objective of the present work is to develop a downscaling statistical model based on wavelet- multifractal and artificial neural network approaches. The focus of this analysis will be on South America and on the regional modeling of temperature and precipitation. More specifically our objectives are: 1) Implement some existing stochastic downscaling models based on cascade techniques such as spatial disaggregation (Sharma et al. 2007) multiplicative random cascade (Srestha et al. 2004) or rainfall downscaling in a space-time multifractal (Deidda 2000). 2) Review and assess different empirical statistical downscaling models and performance of statistical downscaling models in GCM validation and regional climate change estimation. 3) Compare the empirical statistical downscaling models with simulations of the present climate with the Regional Atmospheric Modeling System (RAMS) over eastern South America. 4) Elaborate a complementary new proposal to be submitted to NSF to expand the present study to other regions and meteorological variables.,2010,2012
