,Topic,Document
625,Topic 62,The Global Distribution and Dynamics of Chromophoric Dissolved Organic Matter
626,Topic 62,The effect of surface irradiance on the absorption spectrum of chromophoric dissolved organic matter in the global ocean
627,Topic 62,Cycling of colored dissolved organic matter in the open ocean: Application of photolysis measurements to global satellite observations
628,Topic 62,Biogeochemical and hydrographic controls on chromophoric dissolved organic matter distribution in the Pacific Ocean
629,Topic 62,Chromophoric DOM - A photoactive tracer of biogeochemical process
630,Topic 63,Optimization of porous structure of superparamagnetic nanoparticle adsorbents for higher and faster removal of emerging organic contaminants and PAHs
631,Topic 63,Simultaneous removal of cadmium and nitrate in aqueous media by nanoscale zerovalent iron (nZVI) and Au doped nZVI particles
632,Topic 63,Ordered mesoporous metallic MoO2 materials with highly reversible lithium storage capacity.
633,Topic 63,A new insight on the core shell structure of zerovalent iron nanoparticles and its application for Pb(II) sequestration
634,Topic 63,Isothermal titration microcalorimetry to determine the thermodynamics of metal ion removal by magnetic nanoparticle sorbents
635,Topic 63,Natural organic matter removal by adsorption onto magnetic permanently confined micelle arrays
636,Topic 63,Magnetic permanently confined micelle arrays for treating hydrophobic organic compound contamination.
637,Topic 63,Simultaneous removal of PAHs and metal contaminants from water using magnetic nanoparticle adsorbents
638,Topic 63,EDTA functionalized magnetic nanoparticle sorbents for cadmium and lead contaminated water treatment
639,Topic 63,Magnetic sulfide-modified nanoscale zerovalent iron (S-nZVI) for dissolved metal ion removal
640,Topic 64,Current and Future Variations of the Monsoons of the Americas in a Warming Climate
641,Topic 64,The South American Monsoon System and the 1970s climate transition
642,Topic 64,IPCC global coupled model simulations of the South America monsoon system
643,Topic 64,North Atlantic and Pacific Quasi Stationary Parts of Atmospheric Rivers and Their Implications for East Asian Monsoon Onset
644,Topic 64,Forecast Skill of the South American Monsoon System
645,Topic 64,Climate Change in the South American Monsoon System: Present Climate and CMIP5 Projections
646,Topic 64,An Integrated View of the American Monsoon Systems: Observations Models and Probabilistic Forecasts
647,Topic 64,An Integrated View of the American Monsoon Systems: Observations Models and Probabilistic Forecasts
648,Topic 64,Understanding the mechanisms of onset and demise of the South American Monsoon system
649,Topic 64,The South Atlantic dipole and variations in the characteristics of the South American Monsoon in the WCRP-CMIP3 multi-model simulations
650,Topic 65,Parasite responses to large mammal loss in an African savanna
651,Topic 65,Missing the people for the trees: Identifying coupled natural human system feedbacks driving the ecology of Lyme disease
652,Topic 65,"Risk of vector tick exposure initially increases, then declines through time in response to wildfire in California"
653,Topic 65,"Resistance, tolerance and environmental transmission dynamics determine host extinction risk in a load dependent amphibian disease"
654,Topic 65,Declines in large wildlife increase landscape-level prevalence of rodent-borne disease in Africa
655,Topic 65,Does biodiversity protect humans against infectious disease?
656,Topic 65,Lyme disease risk in southern California: abiotic and environmental drivers of Ixodes pacificus (Acari: Ixodidae) density and infection prevalence with Borrelia burgdorferi
657,Topic 65,Integral Projection Models for host parasite systems with an application to amphibian chytrid fungus
658,Topic 65,Disease and climate effects on individuals drive post reintroduction population dynamics of an endangered amphibian
659,Topic 65,Disease and climate effects on individuals jointly drive post-reintroduction population dynamics of an endangered amphibian
660,Topic 66,Analysis and Synthesis of Carbon Dynamics on Amazon Floodplains
661,Topic 66,Analysis and Synthesis of Carbon Dynamics on Amazon Floodplains
662,Topic 66,A Mechanistic Approach Towards the Remote Assessment of Carbon Export by Sinking Particles in the Open Ocean
663,Topic 66,Prediction of the Export and Fate of Global Ocean Net Primary Production: The EXPORTS Science Plan
664,Topic 66,Riverine carbon dioxide release
665,Topic 66,Multi-faceted particle pumps drive carbon sequestration in the ocean
666,Topic 66,Lakes and reservoirs as regulators of carbon cycling and climate
667,Topic 66,"An organic carbon budget for coastal Southern California determined by estimates of vertical nutrient flux, net community production and export"
668,Topic 66,Global assessment of ocean carbon export by combining satellite observations and food web models
669,Topic 66,How Data Set Characteristics Influence Ocean Carbon Export Models
670,Topic 67,Adaptive Capacity and Social-Environmental Change: Theoretical and Operational Modeling of Smallholder Coffee Systems Response in Mesoamerican Pacific Rim
671,Topic 67,Differentiating capacities as a means to sustainable climate change adaptation
672,Topic 67,Chapter 14 Adaptation of Conservation Strategies
673,Topic 67,Reconceptualising adaptation to climate change as part of pathways of change and response
674,Topic 67,Hidden costs and disparate uncertainties: trade-offs in approaches to climate policy
675,Topic 67,Global Climate Change Adaptation Priorities for Biodiversity and Food Security
676,Topic 67,"Perceptions of risk and adaptation: Coffee producers, market shocks, and extreme weather in Central America and Mexico"
677,Topic 67,Managing private and public adaptation to climate change
678,Topic 67,Adaptation in a multi-stressor environment: perceptions and responses to climatic and economic risks by coffee growers in Mesoamerica
679,Topic 67,"Are adaptation studies effective, and what can enhance their practical impact?"
680,Topic 68,Single-Species and Multiple-Species Connectivity Models for Large Mammals on the Navajo Nation
681,Topic 68,Connectivity structures local population dynamics: a long term empirical test in a large metapopulation system
682,Topic 68,Consequences of Dispersal Heterogeneity for Population Spread and Persistence
683,Topic 68,"Changing seascapes, stochastic connectivity, and marine metapopulation dynamics."
684,Topic 68,Quantifying connectivity in the coastal ocean with application to the Southern California Bight
685,Topic 68,Integrating Satellite Observations into Fisheries Science: Quantifying Abiotic and in-flight Biotic Larval Mortality as a Means to Better Predict Population Connectivity
686,Topic 68,Fluctuations in population fecundity drive variation in demographic connectivity and metapopulation dynamics
687,Topic 68,Ocean currents help explain population genetic structure
688,Topic 68,Quantifying the importance of biological factors in the estimation of larval connectivity and population dynamics in the coastal ocean
689,Topic 68,Quantifying the importance of biological factors in the estimation of larval connectivity and population dynamics in the coastal ocean
690,Topic 69,"Structure, thermodynamic and transport properties of CaAl2Si2O8 liquid. Part I: Molecular dynamics simulations"
691,Topic 69,Chino Basin Tracer Study
692,Topic 69,Phytoplankton Community Composition and Inherent Optical Properties (IOP) in a Complex Coastal Environment
693,Topic 69,Methods to Estimate and Validate the Spatial Distribution of Snow Water Equivalent (SWE)
694,Topic 69,Spatial Dynamics of Grain Size Radiative Forcing by Impurities and Spectral Albedo from AVIRIS-NG Data in the Indian Himalaya
695,Topic 69,Linking coastal contamination to the local sewage system using a sulfer hexaflouride as deliberate tracer
696,Topic 69,Beyond Chlorophyll: Implementation and Distribution of Innovative Ocean Color Earth Science Data Records
697,Topic 69,Travel time assessment near the Yucaipa spreading ponds using sulfur hexaflouride
698,Topic 69,Collaborative Research: Demographic heterogeneity in landscapes and communities
699,Topic 69,Collaborative Research: Demographic heterogeneity in landscapes and communities
